Ticker,Change %,Rel Volume,Debt/Eq,ROE %,Price,RSI,"Avg Volume, M",ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
TCOM,-6.81,1.98,0.29,12.49,56.54,34.4,3.52,3.2366466218606296,-1.561965857299318,-3.8646069632223776,2.7813848858451706,0.518332212854379,2.4037442430661895,0.1,0.08414353794135486,0.1512106626053224
V,-4.88,2.3,0.55,50.03,340.38,35.08,6.53,2.400258534579,-1.5023231199260074,-2.771455168608165,3.6179068845444755,-0.33448517361567964,2.2528522952574237,0.1,0.1134639847773966,0.14171860808421963
ZTS,-4.09,1.63,1.45,51.85,155.06,36.85,2.86,2.644137753127821,-1.3470765829395954,-2.323999252677995,1.8664389497678056,-0.08581539825680005,1.6667458722453978,0.1,0.10299875545709608,0.10484882011217063
LULU,-2.78,1.58,0.4,42.49,228.65,25.25,2.95,4.784605291930898,-2.364511514601954,-1.5820153920849283,1.7357323874710395,2.0966976719603023,1.5187611276385864,0.1,0.056920661415600274,0.09553964699526211
PYPL,-2.97,1.98,0.66,22.2,68.57,40.86,10.22,2.8438092460259594,-0.9953598522528666,-1.6896313718656022,2.7813848858451706,0.117778272331465,1.4842460783773517,0.1,0.09576693591873985,0.09336843286393286
BF-B,-0.62,1.79,0.71,23.14,25.65,19.29,3.8,4.093567251461989,-2.887262565697442,-0.35859162194674193,2.284699949117458,1.3920854655149877,1.453780408947457,0.1,0.0665294793268689,0.0914519502454107
TAP,-1.07,1.16,0.49,7.9,48.81,19.52,2.59,2.2331489448883426,-2.8670892868799984,-0.6134715740588641,0.6377972641782015,-0.5048773225489093,1.3962434864191329,0.1,0.121954649936216,0.08783251518909159
PGR,-2.05,1.45,0.24,34.34,260.33,33.83,3.29,2.2970844697115202,-1.6119605048034167,-1.1685434697697077,1.3958953254994466,-0.43968590242776867,1.2963240464432597,0.1,0.11856024513695405,0.0815469526674184
CPRT,-0.25,1.1,0.01,18.54,47.88,18.33,6.2,2.3809523809523805,-2.9714640772832923,-0.14902366132121922,0.4809493894220822,-0.3541705609723497,1.22377764249323,0.1,0.11438401708830097,0.07698332663167826
GSK,-2.72,1.53,1.3,22.26,38.64,43.06,5.33,2.1739130434782608,-0.8023980548686259,-1.5480313984699787,1.605025825174273,-0.5652768038350814,1.2001831540868744,0.1,0.12527773300147246,0.07549908460549344
